Compund ID	Affinity
169737613	-7.103
91731899	-7.102
136127010	-7.101
68348576	-7.098
141741957	-7.092
3059529	-7.087
54139139	-7.081
79099286	-7.079
67608048	-7.072
11636833	-7.07
131012848	-7.064
25587592	-7.051
62072404	-7.051
63227522	-7.049
68261432	-7.045
20517055	-7.041
171037193	-7.037
88386260	-7.036
3031423	-7.022
62074491	-7.02
354904	-7.016
68653270	-7.015
23470909	-7.008
115522150	-7.002
142750710	-7
154335245	-6.999
141770134	-6.98
379035	-6.977
54352395	-6.974
162651847	-6.972
69852218	-6.967
57035832	-6.966
149253951	-6.964
67516351	-6.961
71724839	-6.96
106214824	-6.954
59403155	-6.951
168968870	-6.946
7060847	-6.942
136449571	-6.938
118992597	-6.931
154191519	-6.926
9942190	-6.923
62072611	-6.908
53334742	-6.907
9500	-6.904
140875975	-6.901
65531901	-6.894
140385835	-6.89
142794569	-6.889
123711792	-6.882
2763340	-6.882
20517064	-6.876
156213722	-6.871
62153986	-6.868
129969386	-6.867
23372620	-6.866
63227880	-6.865
115522075	-6.863
20795367	-6.862
30756025	-6.861
68926299	-6.86
55140555	-6.853
79034156	-6.852
117806587	-6.851
162668765	-6.851
137161106	-6.848
58772605	-6.847
2826733	-6.846
143224774	-6.839
143014719	-6.836
57781845	-6.833
58772613	-6.833
63228068	-6.832
45084631	-6.831
141506552	-6.83
96892	-6.83
43275312	-6.826
68832818	-6.824
54420120	-6.822
13789949	-6.819
44180375	-6.816
68790144	-6.815
123783097	-6.812
118861700	-6.808
20215045	-6.808
62155825	-6.807
36545136	-6.804
88995807	-6.801
89494598	-6.799
43420783	-6.797
55043386	-6.795
162672625	-6.794
113328073	-6.793
115408636	-6.79
80583554	-6.786
169838282	-6.783
143014737	-6.778
148048379	-6.771
114169654	-6.77
18422431	-6.766
62159706	-6.766
70467785	-6.766
135754398	-6.764
4737814	-6.754
129783319	-6.746
171501818	-6.746
54245880	-6.746
136345708	-6.744
154230846	-6.741
136089013	-6.739
88758244	-6.733
20678894	-6.732
62074199	-6.731
34003152	-6.729
59728841	-6.721
106295549	-6.719
53334700	-6.718
88386031	-6.717
129935091	-6.714
53334695	-6.714
47354874	-6.709
54934775	-6.707
20207438	-6.706
58339434	-6.703
58772608	-6.692
123855593	-6.688
68652799	-6.677
55137276	-6.676
90876994	-6.672
114384383	-6.667
139691637	-6.667
70820584	-6.666
90929211	-6.66
21344160	-6.658
145616621	-6.656
21521592	-6.656
62074318	-6.655
70582974	-6.654
44764063	-6.653
21793036	-6.652
58155032	-6.65
115408625	-6.648
72212056	-6.643
3031421	-6.638
118705756	-6.635
68083878	-6.634
20215042	-6.632
19699139	-6.629
142987239	-6.626
58772618	-6.623
70906165	-6.62
88386261	-6.62
29566370	-6.619
21452449	-6.617
114159203	-6.611
71970407	-6.611
22624267	-6.61
138560483	-6.608
136999721	-6.605
90275756	-6.605
62173148	-6.602
58772636	-6.601
62072773	-6.6
24703666	-6.599
153682203	-6.597
23402638	-6.597
10988044	-6.588
115522131	-6.584
270260	-6.584
65531133	-6.584
129661540	-6.582
11666136	-6.575
62074154	-6.567
147531350	-6.564
118348030	-6.563
171795649	-6.562
63961449	-6.562
105943000	-6.559
90405501	-6.558
140829017	-6.557
21281446	-6.557
89166023	-6.556
130198322	-6.554
596269	-6.55
144940858	-6.547
130504925	-6.546
59128735	-6.544
57697946	-6.542
14173724	-6.539
137185173	-6.531
62173314	-6.531
